Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
32-delta-heat-head-w-rotis-and-ir-burner-lp,"32"" DELTA HEAT HEAD W/ROTIS AND IR BURNER LP",<p></p>,Delta Heat,Barbeques,"",false,Title,Default Title,,,,,DHBQ32RS-DL,0.0,shopify,0,continue,manual,3959.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,lb,,2738.36,active
a-maze-n-5-x-8-smoker-maze,A-Maze-n 5 X 8 Smoker Maze,<p></p>,A-Maze-N Products,Accessories,"",false,Title,Default Title,,,,,'40268,0.0,shopify,0,continue,manual,34.99,,true,true,'684678402689,,,,false,,,,,,,,,,,,,,,,,lb,,16.00,active
a-maze-n-hickory-pellets-2lbs,A-MAZE-N - Hickory Pellets 2lbs,<p></p>,A-Maze-N Products,Fuel,"Brand_A-Maze-N Products, Type_Wood Pellets",true,Title,Default Title,,,,,AMZNPELLHICKORY,0.0,shopify,0,deny,manual,7.99,,true,true,'851786005150,,,,false,,,,,,,,,,,,,,,,,lb,,2.70,active
acadia-firepit-mesh-screen,Acadia Firepit Mesh Screen,<p></p>,Jatex,Fire Pit,"",false,Size,"30""",,,,,'25030,0.0,shopify,0,deny,manual,299.99,,true,true,'202008251309,,,,false,,,,,,,,,,,,,,,,,lb,,86.25,active
acadia-firepit-mesh-screen,,,,,,,,"36""",,,,,'25031,0.0,shopify,0,deny,manual,399.99,,true,true,'202008251310,,,,,,,,,,,,,,,,,,,,,lb,,131.25,
acadia-firepit-mesh-screen,,,,,,,,"42""",,,,,'25032,0.0,shopify,0,deny,manual,599.99,,true,true,'202008251311,,,,,,,,,,,,,,,,,,,,,lb,,221.25,
100-island-w-door-cab-pr500,"100"" ISLAND W/ DOOR CAB PR500",<p></p>,Gensun,Barbeques,discontinued,false,Title,Default Title,,,,,95G0D100SQN,0.0,shopify,0,continue,manual,7299.01,,true,true,'00125220190102,,,,false,,,,,,,,,,,,,,,,,lb,,5434.63,archived
106-island-w-door-cab-pro665,"106"" ISLAND W/ DOOR CAB PRO665",<p></p>,Gensun,Barbeques,"",false,Title,Default Title,,,,,95G0D106SQO,0.0,shopify,0,continue,manual,9199.01,,true,true,'00125220190103,,,,false,,,,,,,,,,,,,,,,,lb,,6287.11,active
96-seating-island-no-grill,"96"" SEATING ISLAND NO GRILL",<p></p>,Gensun,Barbeques,"",false,Title,Default Title,,,,,95DRD096SQ,0.0,shopify,0,continue,manual,6999.00,,true,true,'00125220190110,,,,false,,,,,,,,,,,,,,,,,lb,,2519.40,active
100-x-103-corner-island-pro500,100 X 103 CORNER ISLAND PRO500,<p></p>,Gensun,Barbeques,"",false,Title,Default Title,,,,,95GL0100SQN,0.0,shopify,0,continue,manual,10299.01,,true,true,'00125220190101,,,,false,,,,,,,,,,,,,,,,,lb,,3556.80,active
140-island-w-seating-pro500,"140"" ISLAND W/ SEATING PRO500",<p></p>,Gensun,Barbeques,"",false,Title,Default Title,,,,,95GPD140SQN,0.0,shopify,0,continue,manual,8299.01,,true,true,'00125220190104,,,,false,,,,,,,,,,,,,,,,,lb,,6067.35,active
146-island-w-seating-pro665,"146"" ISLAND W/ SEATING PRO665",<p></p>,Gensun,Barbeques,discontinued,false,Title,Default Title,,,,,95GPD146SQNO,0.0,shopify,0,continue,manual,7999.99,,true,true,'00125220190105,,,,false,,,,,,,,,,,,,,,,,lb,,6921.39,archived
amari-stationary-balcony-stool,AMARI STATIONARY BALCONY STOOL,<p></p>,Gensun,Furniture,"",false,Title,Default Title,,,,,'10255001692,0.0,shopify,0,continue,manual,399.00,,true,true,'00125220190109,,,,false,,,,,,,,,,,,,,,,,lb,,138.70,active
