"id","title","category-level-one","category-level-two","cook-type","total-btu","total-grill-size","cooking-temperature-range","primary-cooking-space","number-of-racks","side-burner","sear-functionality","stand-type","grill-type","gluten-free","low-or-sodium-free","suger-free","no-msg","dimensions","rear-rotisserie-burner"
"gid://shopify/Product/6554674102424","Napoleon Cover for Uptown","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674135192","Napoleon - Zero Clearance Liner for  Built in 500 & 700 Series Dual Burners","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674167960","TWIN EAGLES S16241 LENS COVER","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674200728","TWIN EAGLES S16191-1 HALOGEN BULB TW","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674233496","TWIN EAGLES  S16240 LIGHT HALOGEN, COMPLETE TEBQ","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674266264","TWIN EAGLES S14128 RUBBER LID BUMPERS","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674299032","TWIN EAGLES S21765WY IR FLASH WELDED ASSY","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674331800","TWIN EAGLES S13144 MESH SCREEN/SEAR BURNER","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674364568","TWIN EAGLES S13345 IR BURNER ASSY","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674397336","Terra Flame - Pure Gel Fuel by SunJel - 12 Pack","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674430104","Terra Flame - Geo Fire Bowl Table Top - Pewter","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674495640","Terra Flame - Geo Fire Bowl Table Top - White","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674593944","Terra Flame - Zen Fire Bowl Table Top - Sand","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674626712","Terra Flame - Zen Fire Bowl Table Top - Pewter","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674823320","Terra Flame - Basin Fire Bowl Table Top - Pewter","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554674954392","Terra Flame - Basin Fire Bowl Table Top - Sand","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675019928","NAPOLEON N120-0034-GY0TX END CAP RIGHT","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675085464","NAPOLEON N120-0033-GY0TX END CAP LEFT","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675118232","NAPOLEON N380-0025BK SMOKER TUBE KNOB","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675151000","CRP Modern Rectangle Planter","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675249304","CRP Modern Square Planter","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675282072","Napoleon Oasis 700 Series BIG44 Under Grill Cabinet","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675380376","Colgin Liquid Smoke - Natural Apple","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675511448","Yeti Sidekick - Fog Grey & Tahoe Blue","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675576984","Yeti Sidekick - Field Tan & Blaze Orange","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675708056","Uncle Dougie’s - Sweet N’ Sappy BBQ Sauce","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675773592","Uncle Dougies - Wicked Good No Fry Wing Marinade","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675839128","Weber Traveler Prep & Serve Board","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675871896","Weber Traveler Cut & Catch Cutting Board","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675904664","Weber Traveler Cargo Protector","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675937432","Weber - Traveler Portable Gas Grill","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554675970200","Weber Spirit E-215 Gas Grill","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554676068504","Weber - SmokeFire EX6 Pellet Grill","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554676134040","Weber SmokeFire EX4 Pellet Grill","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554676232344","Weber Summit Kamado S6 Grill Center","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554676265112","Weber Summit Kamado E6 Charcoal Grill","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554676428952","Weber GBS Grill & Griddle Station","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554676560024","Weber Fuel Storage Bag","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554676625560","Weber Smokefire Glow Plug","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554676691096","Weber Smokefire EX6 Folding Front Shelf","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554676789400","Weber Smokefire EX4 Folding Front Shelf","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554676822168","Weber Connect Storage and Travel Case","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554676986008","Weber Smokefire Folding Side Table","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677084312","Luxe Bucket $79.99 V.12.79","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677182616","Luxe Bucket $29.99 V.4.29","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677313688","Luxe Bucket $49.99 V.11.49","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677346456","Luxe Bucket $79.99 V.11.79","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677379224","Luxe Bucket $99.99 V.6.99","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677411992","Luxe Bucket $129.99 V.7.129","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677477528","Napoleon N530-0049 OEM Regulator","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677543064","Kosmo's Rib Glaze - Sticky Asian","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677575832","Kosmo's Rib Glaze - Maple Bourbon","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677608600","Napoleon - 30"" X 16"" Small Double Door","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677641368","Ooni Grizzler Pan","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677706904","WEBER Genesis II EX-335 Smart Gas Grill","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677739672","John Henry's - Texas Brisket Rub","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677772440","Yoder YS480 Antenna, Rubber Duck 2.4 GHz","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677805208","Yoder YS640 Power Cord","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677837976","Fireboard Extreme Probe Pack","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677870744","Fireboard 2 Magnetic Base","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677903512","Big Green Egg - Multi Fit Cover J","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677936280","Big Green Egg - Multi Fit Cover H","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554677969048","Big Green Egg - Multi Fit Cover G","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678001816","Big Green Egg - Multi Fit Cover D","","","","","","","","","","","","","","","","","",""
"gid://shopify/Product/6554678067352","Big Green Egg - Multi Fit Cover A","","","","","","","","","","","","","","","","","",""
